"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GPSC15_reference","GPSC17_reference","GPSC22_reference","GPSC25_reference","GPSC26_reference","GPSC32_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC4_reference","GPSC5_reference","GPSC8_reference","JYGP01","NC_017592"
"rlmCD","","23S rRNA (uracil-C(5))-methyltransferase RlmCD","14","14","1","1","2762","","","","1355","1367","1356","GPSC15_reference_01684","GPSC17_reference_01775","GPSC22_reference_01735","GPSC25_reference_01827","GPSC26_reference_01836","GPSC32_reference_01840","GPSC34_reference_01766","GPSC37_reference_01735","GPSC3_reference_01829","GPSC4_reference_01773","GPSC5_reference_01813","GPSC8_reference_01894","JYGP01_01897","NC_017592_01760"
"mreC","","Cell shape-determining protein MreC","14","14","1","1","3569","","","","818","818","818","GPSC15_reference_00005","GPSC17_reference_02077","GPSC22_reference_02043","GPSC25_reference_00036","GPSC26_reference_02172","GPSC32_reference_00071","GPSC34_reference_00027","GPSC37_reference_02055","GPSC3_reference_02159","GPSC4_reference_02087","GPSC5_reference_00009","GPSC8_reference_02240","JYGP01_01662","NC_017592_02082"
"ecfT_2","","Energy-coupling factor transporter transmembrane protein EcfT","14","14","1","1","3570","","","","794","794","794","GPSC15_reference_00006","GPSC17_reference_02078","GPSC22_reference_02044","GPSC25_reference_00037","GPSC26_reference_02173","GPSC32_reference_00072","GPSC34_reference_00028","GPSC37_reference_02056","GPSC3_reference_02160","GPSC4_reference_02088","GPSC5_reference_00010","GPSC8_reference_02241","JYGP01_01663","NC_017592_02083"
"ecfA2","","Energy-coupling factor transporter ATP-binding protein EcfA2","14","14","1","1","3571","","","","839","839","839","GPSC15_reference_00007","GPSC17_reference_02079","GPSC22_reference_02045","GPSC25_reference_00038","GPSC26_reference_02174","GPSC32_reference_00073","GPSC34_reference_00029","GPSC37_reference_02057","GPSC3_reference_02161","GPSC4_reference_02089","GPSC5_reference_00011","GPSC8_reference_02242","JYGP01_01664","NC_017592_02084"
"ecfA1","","Energy-coupling factor transporter ATP-binding protein EcfA1","14","14","1","1","3572","","","","827","827","827","GPSC15_reference_00008","GPSC17_reference_02080","GPSC22_reference_02046","GPSC25_reference_00039","GPSC26_reference_02175","GPSC32_reference_00074","GPSC34_reference_00030","GPSC37_reference_02058","GPSC3_reference_02162","GPSC4_reference_02090","GPSC5_reference_00012","GPSC8_reference_02243","JYGP01_01665","NC_017592_02085"
"group_1219","","hypothetical protein","14","14","1","1","3579","","","","368","368","368","GPSC15_reference_00013","GPSC17_reference_02085","GPSC22_reference_02051","GPSC25_reference_00044","GPSC26_reference_02180","GPSC32_reference_00079","GPSC34_reference_00035","GPSC37_reference_02063","GPSC3_reference_02167","GPSC4_reference_02095","GPSC5_reference_00017","GPSC8_reference_02248","JYGP01_01670","NC_017592_02090"
"trpS2","","Tryptophan--tRNA ligase 2","14","14","1","1","3582","","","","1025","1025","1025","GPSC15_reference_00016","GPSC17_reference_02088","GPSC22_reference_02054","GPSC25_reference_00047","GPSC26_reference_02183","GPSC32_reference_00082","GPSC34_reference_00038","GPSC37_reference_02066","GPSC3_reference_02170","GPSC4_reference_02098","GPSC5_reference_00020","GPSC8_reference_02251","JYGP01_01673","NC_017592_02093"
"htrA","","Serine protease Do-like HtrA","14","14","1","1","3601","","","","1181","1181","1181","GPSC15_reference_00031","GPSC17_reference_00007","GPSC22_reference_00006","GPSC25_reference_00060","GPSC26_reference_02196","GPSC32_reference_00095","GPSC34_reference_00051","GPSC37_reference_02080","GPSC3_reference_02184","GPSC4_reference_02111","GPSC5_reference_00032","GPSC8_reference_02264","JYGP01_01685","NC_017592_02106"
"group_1222","","hypothetical protein","14","14","1","1","3606","","","","194","194","194","GPSC15_reference_00035","GPSC17_reference_00011","GPSC22_reference_00010","GPSC25_reference_00064","GPSC26_reference_00003","GPSC32_reference_00099","GPSC34_reference_00055","GPSC37_reference_02084","GPSC3_reference_00003","GPSC4_reference_02115","GPSC5_reference_00036","GPSC8_reference_00003","JYGP01_01689","NC_017592_00003"
"pth","","Peptidyl-tRNA hydrolase","14","14","1","1","3608","","","","569","569","569","GPSC15_reference_00037","GPSC17_reference_00013","GPSC22_reference_00012","GPSC25_reference_00066","GPSC26_reference_00005","GPSC32_reference_00101","GPSC34_reference_00057","GPSC37_reference_02109","GPSC3_reference_00005","GPSC4_reference_02117","GPSC5_reference_00038","GPSC8_reference_00005","JYGP01_01691","NC_017592_00005"
"group_1224","","hypothetical protein","14","14","1","1","3615","","","","1268","1268","1268","GPSC15_reference_00042","GPSC17_reference_00018","GPSC22_reference_00017","GPSC25_reference_00071","GPSC26_reference_00010","GPSC32_reference_00106","GPSC34_reference_00062","GPSC37_reference_02114","GPSC3_reference_00010","GPSC4_reference_02122","GPSC5_reference_00043","GPSC8_reference_00010","JYGP01_01696","NC_017592_00010"
"hpt","","Hypoxanthine-guanine phosphoribosyltransferase","14","14","1","1","3617","","","","542","542","542","GPSC15_reference_00044","GPSC17_reference_00020","GPSC22_reference_00019","GPSC25_reference_00073","GPSC26_reference_00012","GPSC32_reference_00108","GPSC34_reference_00064","GPSC37_reference_02116","GPSC3_reference_00012","GPSC4_reference_02124","GPSC5_reference_00045","GPSC8_reference_00012","JYGP01_01698","NC_017592_00012"
"ftsH","","ATP-dependent zinc metalloprotease FtsH","14","14","1","1","3619","","","","1958","1958","1958","GPSC15_reference_00045","GPSC17_reference_00021","GPSC22_reference_00020","GPSC25_reference_00074","GPSC26_reference_00013","GPSC32_reference_00109","GPSC34_reference_00065","GPSC37_reference_02117","GPSC3_reference_00013","GPSC4_reference_02125","GPSC5_reference_00046","GPSC8_reference_00013","JYGP01_01699","NC_017592_00013"
"tadA_1","","tRNA-specific adenosine deaminase","14","14","1","1","1794","","","","467","467","467","GPSC15_reference_00053","GPSC17_reference_00033","GPSC22_reference_00027","GPSC25_reference_00136","GPSC26_reference_00025","GPSC32_reference_00121","GPSC34_reference_00074","GPSC37_reference_00006","GPSC3_reference_00067","GPSC4_reference_00008","GPSC5_reference_00102","GPSC8_reference_00080","JYGP01_00008","NC_017592_00073"
"dut","","Deoxyuridine 5'-triphosphate nucleotidohydrolase","14","14","1","1","1793","","","","443","443","443","GPSC15_reference_00054","GPSC17_reference_00034","GPSC22_reference_00028","GPSC25_reference_00137","GPSC26_reference_00026","GPSC32_reference_00122","GPSC34_reference_00075","GPSC37_reference_00063","GPSC3_reference_00068","GPSC4_reference_00024","GPSC5_reference_00103","GPSC8_reference_00081","JYGP01_00009","NC_017592_00074"
"radA","","DNA repair protein RadA","14","14","1","1","1790","","","","1262","1337","1267","GPSC15_reference_00056","GPSC17_reference_00036","GPSC22_reference_00030","GPSC25_reference_00139","GPSC26_reference_00028","GPSC32_reference_00124","GPSC34_reference_00077","GPSC37_reference_00065","GPSC3_reference_00070","GPSC4_reference_00026","GPSC5_reference_00105","GPSC8_reference_00083","JYGP01_00011","NC_017592_00076"
"mtcA1","","Beta-carbonic anhydrase 1","14","14","1","1","1789","","","","497","497","497","GPSC15_reference_00057","GPSC17_reference_00037","GPSC22_reference_00031","GPSC25_reference_00140","GPSC26_reference_00029","GPSC32_reference_00125","GPSC34_reference_00078","GPSC37_reference_00066","GPSC3_reference_00071","GPSC4_reference_00027","GPSC5_reference_00106","GPSC8_reference_00084","JYGP01_00012","NC_017592_00077"
"polA","","DNA polymerase I","14","14","1","1","1775","","","","2669","2669","2669","GPSC15_reference_00063","GPSC17_reference_00044","GPSC22_reference_00040","GPSC25_reference_00146","GPSC26_reference_00035","GPSC32_reference_00131","GPSC34_reference_00084","GPSC37_reference_00072","GPSC3_reference_00076","GPSC4_reference_00033","GPSC5_reference_00112","GPSC8_reference_00090","JYGP01_00022","NC_017592_00084"
"lcnD_1","","Lactococcin A secretion protein LcnD","14","14","1","1","1762","","","","1349","1349","1349","GPSC15_reference_00073","GPSC17_reference_00054","GPSC22_reference_00055","GPSC25_reference_00162","GPSC26_reference_00046","GPSC32_reference_00143","GPSC34_reference_00101","GPSC37_reference_00084","GPSC3_reference_00085","GPSC4_reference_00050","GPSC5_reference_00123","GPSC8_reference_00107","JYGP01_00039","NC_017592_00093"
"purC","","Phosphoribosylaminoimidazole-succinocarboxamide synthase","14","14","1","1","1761","","","","707","749","710","GPSC15_reference_00074","GPSC17_reference_00055","GPSC22_reference_00056","GPSC25_reference_00163","GPSC26_reference_00047","GPSC32_reference_00144","GPSC34_reference_00102","GPSC37_reference_00085","GPSC3_reference_00086","GPSC4_reference_00051","GPSC5_reference_00124","GPSC8_reference_00108","JYGP01_00040","NC_017592_00094"
"purL","","Phosphoribosylformylglycinamidine synthase","14","14","1","1","1760","","","","3725","3725","3725","GPSC15_reference_00075","GPSC17_reference_00056","GPSC22_reference_00057","GPSC25_reference_00164","GPSC26_reference_00048","GPSC32_reference_00145","GPSC34_reference_00103","GPSC37_reference_00086","GPSC3_reference_00087","GPSC4_reference_00052","GPSC5_reference_00125","GPSC8_reference_00109","JYGP01_00041","NC_017592_00095"
"purM","","Phosphoribosylformylglycinamidine cyclo-ligase","14","14","1","1","1758","","","","1022","1022","1022","GPSC15_reference_00077","GPSC17_reference_00058","GPSC22_reference_00059","GPSC25_reference_00166","GPSC26_reference_00050","GPSC32_reference_00147","GPSC34_reference_00105","GPSC37_reference_00088","GPSC3_reference_00089","GPSC4_reference_00054","GPSC5_reference_00127","GPSC8_reference_00111","JYGP01_00043","NC_017592_00097"
"bga","","Beta-galactosidase","14","14","1","1","1744","","","","1787","1787","1787","GPSC15_reference_00088","GPSC17_reference_00069","GPSC22_reference_00070","GPSC25_reference_00177","GPSC26_reference_00061","GPSC32_reference_00158","GPSC34_reference_00116","GPSC37_reference_00099","GPSC3_reference_00100","GPSC4_reference_00065","GPSC5_reference_00138","GPSC8_reference_00122","JYGP01_00055","NC_017592_00108"
"sorB","","PTS system sorbose-specific EIIB component","14","14","1","1","1742","","","","476","476","476","GPSC15_reference_00089","GPSC17_reference_00070","GPSC22_reference_00071","GPSC25_reference_00178","GPSC26_reference_00062","GPSC32_reference_00159","GPSC34_reference_00117","GPSC37_reference_00100","GPSC3_reference_00101","GPSC4_reference_00066","GPSC5_reference_00139","GPSC8_reference_00123","JYGP01_00056","NC_017592_00109"
"group_1239","","hypothetical protein","14","14","1","1","1741","","","","905","905","905","GPSC15_reference_00090","GPSC17_reference_00071","GPSC22_reference_00072","GPSC25_reference_00179","GPSC26_reference_00063","GPSC32_reference_00160","GPSC34_reference_00118","GPSC37_reference_00101","GPSC3_reference_00102","GPSC4_reference_00067","GPSC5_reference_00140","GPSC8_reference_00124","JYGP01_00057","NC_017592_00110"
"manZ_1","","PTS system mannose-specific EIID component","14","14","1","1","1740","","","","815","821","815","GPSC15_reference_00091","GPSC17_reference_00072","GPSC22_reference_00073","GPSC25_reference_00180","GPSC26_reference_00064","GPSC32_reference_00161","GPSC34_reference_00119","GPSC37_reference_00102","GPSC3_reference_00103","GPSC4_reference_00068","GPSC5_reference_00141","GPSC8_reference_00125","JYGP01_00058","NC_017592_00111"
"agaS","","Putative D-galactosamine-6-phosphate deaminase AgaS","14","14","1","1","1738","","","","1166","1166","1166","GPSC15_reference_00093","GPSC17_reference_00074","GPSC22_reference_00075","GPSC25_reference_00182","GPSC26_reference_00066","GPSC32_reference_00163","GPSC34_reference_00121","GPSC37_reference_00104","GPSC3_reference_00105","GPSC4_reference_00070","GPSC5_reference_00143","GPSC8_reference_00127","JYGP01_00060","NC_017592_00113"
"mro","","Aldose 1-epimerase","14","14","1","1","1736","","","","1037","1037","1037","GPSC15_reference_00094","GPSC17_reference_00075","GPSC22_reference_00076","GPSC25_reference_00183","GPSC26_reference_00067","GPSC32_reference_00164","GPSC34_reference_00122","GPSC37_reference_00105","GPSC3_reference_00106","GPSC4_reference_00071","GPSC5_reference_00144","GPSC8_reference_00128","JYGP01_00061","NC_017592_00114"
"yteP_1","","putative multiple-sugar transport system permease YteP","14","14","1","1","1697","","","","929","929","929","GPSC15_reference_00109","GPSC17_reference_00091","GPSC22_reference_00094","GPSC25_reference_00198","GPSC26_reference_00082","GPSC32_reference_00180","GPSC34_reference_00138","GPSC37_reference_00122","GPSC3_reference_00124","GPSC4_reference_00089","GPSC5_reference_00161","GPSC8_reference_00144","JYGP01_01612","NC_017592_00132"
"araQ_1","","L-arabinose transport system permease protein AraQ","14","14","1","1","1696","","","","923","923","923","GPSC15_reference_00110","GPSC17_reference_00092","GPSC22_reference_00095","GPSC25_reference_00199","GPSC26_reference_00083","GPSC32_reference_00181","GPSC34_reference_00139","GPSC37_reference_00123","GPSC3_reference_00125","GPSC4_reference_00090","GPSC5_reference_00162","GPSC8_reference_00145","JYGP01_01611","NC_017592_00133"
"group_1249","","hypothetical protein","14","14","1","1","1685","","","","593","593","593","GPSC15_reference_00116","GPSC17_reference_00099","GPSC22_reference_00101","GPSC25_reference_00205","GPSC26_reference_00089","GPSC32_reference_00187","GPSC34_reference_00145","GPSC37_reference_00129","GPSC3_reference_00131","GPSC4_reference_00101","GPSC5_reference_00168","GPSC8_reference_00151","JYGP01_01603","NC_017592_00139"
"dapE","","Succinyl-diaminopimelate desuccinylase","14","14","1","1","3769","","","","1373","1373","1373","GPSC15_reference_00175","GPSC17_reference_00159","GPSC22_reference_00158","GPSC25_reference_00270","GPSC26_reference_00154","GPSC32_reference_00247","GPSC34_reference_00201","GPSC37_reference_00190","GPSC3_reference_00197","GPSC4_reference_00146","GPSC5_reference_00226","GPSC8_reference_00218","JYGP01_01570","NC_017592_00207"
"metP","","Methionine import system permease protein MetP","14","14","1","1","3767","","","","692","692","692","GPSC15_reference_00177","GPSC17_reference_00161","GPSC22_reference_00160","GPSC25_reference_00272","GPSC26_reference_00156","GPSC32_reference_00249","GPSC34_reference_00203","GPSC37_reference_00192","GPSC3_reference_00199","GPSC4_reference_00148","GPSC5_reference_00228","GPSC8_reference_00220","JYGP01_01568","NC_017592_00209"
"group_1261","","hypothetical protein","14","14","1","1","3765","","","","614","614","614","GPSC15_reference_00179","GPSC17_reference_00163","GPSC22_reference_00162","GPSC25_reference_00274","GPSC26_reference_00158","GPSC32_reference_00251","GPSC34_reference_00205","GPSC37_reference_00194","GPSC3_reference_00201","GPSC4_reference_00150","GPSC5_reference_00230","GPSC8_reference_00222","JYGP01_01566","NC_017592_00211"
"cheB","","Protein-glutamate methylesterase/protein-glutamine glutaminase","14","14","1","1","3763","","","","1286","1286","1286","GPSC15_reference_00181","GPSC17_reference_00165","GPSC22_reference_00164","GPSC25_reference_00276","GPSC26_reference_00160","GPSC32_reference_00253","GPSC34_reference_00207","GPSC37_reference_00196","GPSC3_reference_00203","GPSC4_reference_00152","GPSC5_reference_00232","GPSC8_reference_00224","JYGP01_01564","NC_017592_00213"
"group_1267","","hypothetical protein","14","14","1","1","3748","","","","677","683","682","GPSC15_reference_00196","GPSC17_reference_00180","GPSC22_reference_00179","GPSC25_reference_00291","GPSC26_reference_00183","GPSC32_reference_00268","GPSC34_reference_00222","GPSC37_reference_00218","GPSC3_reference_00218","GPSC4_reference_00167","GPSC5_reference_00248","GPSC8_reference_00239","JYGP01_01555","NC_017592_00228"
"nrdD","","Anaerobic ribonucleoside-triphosphate reductase","14","14","1","1","3668","","","","2207","2207","2207","GPSC15_reference_00210","GPSC17_reference_00194","GPSC22_reference_00208","GPSC25_reference_00323","GPSC26_reference_00197","GPSC32_reference_00282","GPSC34_reference_00252","GPSC37_reference_00232","GPSC3_reference_00232","GPSC4_reference_00181","GPSC5_reference_00278","GPSC8_reference_00253","JYGP01_01541","NC_017592_00242"
"rplD","","50S ribosomal protein L4","14","14","1","1","3659","","","","623","623","623","GPSC15_reference_00216","GPSC17_reference_00200","GPSC22_reference_00214","GPSC25_reference_00329","GPSC26_reference_00203","GPSC32_reference_00288","GPSC34_reference_00258","GPSC37_reference_00238","GPSC3_reference_00238","GPSC4_reference_00187","GPSC5_reference_00284","GPSC8_reference_00259","JYGP01_01536","NC_017592_00248"
