"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP023349","GPSC10_reference","GPSC11_reference","GPSC13_reference","GPSC14_reference","GPSC15_reference","GPSC16_reference","GPSC17_reference","GPSC18_reference","GPSC19_reference","GPSC1_reference","GPSC21_reference","GPSC22_reference","GPSC23_reference","GPSC25_reference","GPSC26_reference","GPSC27_reference","GPSC2_reference","GPSC30_reference","GPSC31_reference","GPSC32_reference","GPSC33_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC40_reference","GPSC43_reference","GPSC47_reference","GPSC4_reference","GPSC5_reference","GPSC6_reference","GPSC7_reference","GPSC8_reference","GPSC9_reference","NC_017592"
"rnhC","","Ribonuclease HIII","35","35","1","1","3067","","","","872","881","879","AP023349_01746","GPSC10_reference_00357","GPSC11_reference_00421","GPSC13_reference_00380","GPSC14_reference_00392","GPSC15_reference_00392","GPSC16_reference_00371","GPSC17_reference_00424","GPSC18_reference_00354","GPSC19_reference_00471","GPSC1_reference_00429","GPSC21_reference_00335","GPSC22_reference_00381","GPSC23_reference_00465","GPSC25_reference_00521","GPSC26_reference_00388","GPSC27_reference_00385","GPSC2_reference_00417","GPSC30_reference_00442","GPSC31_reference_00390","GPSC32_reference_00466","GPSC33_reference_00399","GPSC34_reference_00432","GPSC37_reference_00403","GPSC3_reference_00396","GPSC40_reference_00412","GPSC43_reference_00337","GPSC47_reference_00411","GPSC4_reference_00363","GPSC5_reference_00455","GPSC6_reference_00431","GPSC7_reference_00509","GPSC8_reference_00460","GPSC9_reference_00348","NC_017592_00417"
"recD2","","ATP-dependent RecD-like DNA helicase","35","35","1","1","3069","","","","1196","2366","2311","AP023349_01748","GPSC10_reference_00355","GPSC11_reference_00419","GPSC13_reference_00378","GPSC14_reference_00390","GPSC15_reference_00390","GPSC16_reference_00369","GPSC17_reference_00422","GPSC18_reference_00352","GPSC19_reference_00469","GPSC1_reference_00427","GPSC21_reference_00333","GPSC22_reference_00379","GPSC23_reference_00463","GPSC25_reference_00519","GPSC26_reference_00386","GPSC27_reference_00383","GPSC2_reference_00415","GPSC30_reference_00440","GPSC31_reference_00388","GPSC32_reference_00464","GPSC33_reference_00397","GPSC34_reference_00430","GPSC37_reference_00401","GPSC3_reference_00394","GPSC40_reference_00410","GPSC43_reference_00335","GPSC47_reference_00409","GPSC4_reference_00361","GPSC5_reference_00453","GPSC6_reference_00429","GPSC7_reference_00507","GPSC8_reference_00458","GPSC9_reference_00346","NC_017592_00415"
"dexB","","Glucan 1,6-alpha-glucosidase","35","35","1","1","212","","","","1607","1610","1607","AP023349_01775","GPSC10_reference_00305","GPSC11_reference_00372","GPSC13_reference_00325","GPSC14_reference_00348","GPSC15_reference_00339","GPSC16_reference_00314","GPSC17_reference_00320","GPSC18_reference_00296","GPSC19_reference_00418","GPSC1_reference_00382","GPSC21_reference_00289","GPSC22_reference_00334","GPSC23_reference_00406","GPSC25_reference_00462","GPSC26_reference_00325","GPSC27_reference_00325","GPSC2_reference_00363","GPSC30_reference_00395","GPSC31_reference_00332","GPSC32_reference_00414","GPSC33_reference_00347","GPSC34_reference_00381","GPSC37_reference_00346","GPSC3_reference_00350","GPSC40_reference_00360","GPSC43_reference_00290","GPSC47_reference_00357","GPSC4_reference_00303","GPSC5_reference_00410","GPSC6_reference_00382","GPSC7_reference_00452","GPSC8_reference_00397","GPSC9_reference_00299","NC_017592_00374"
"gtaB","","UTP--glucose-1-phosphate uridylyltransferase","35","35","1","1","483","","","","899","899","899","AP023349_01955","GPSC10_reference_01948","GPSC11_reference_01986","GPSC13_reference_01950","GPSC14_reference_01975","GPSC15_reference_01872","GPSC16_reference_02100","GPSC17_reference_01956","GPSC18_reference_02016","GPSC19_reference_02031","GPSC1_reference_02007","GPSC21_reference_01920","GPSC22_reference_01929","GPSC23_reference_02210","GPSC25_reference_02028","GPSC26_reference_02045","GPSC27_reference_02044","GPSC2_reference_02032","GPSC30_reference_02016","GPSC31_reference_01938","GPSC32_reference_02034","GPSC33_reference_01926","GPSC34_reference_01966","GPSC37_reference_01922","GPSC3_reference_02040","GPSC40_reference_01984","GPSC43_reference_01879","GPSC47_reference_02072","GPSC4_reference_01967","GPSC5_reference_02054","GPSC6_reference_02059","GPSC7_reference_02080","GPSC8_reference_02101","GPSC9_reference_01905","NC_017592_01968"
"group_1296","","hypothetical protein","35","35","1","1","752","","","","122","122","122","AP023349_00010","GPSC10_reference_02108","GPSC11_reference_00040","GPSC13_reference_02096","GPSC14_reference_00042","GPSC15_reference_00041","GPSC16_reference_00009","GPSC17_reference_00017","GPSC18_reference_02169","GPSC19_reference_00104","GPSC1_reference_00042","GPSC21_reference_02154","GPSC22_reference_00016","GPSC23_reference_00032","GPSC25_reference_00070","GPSC26_reference_00009","GPSC27_reference_00009","GPSC2_reference_00009","GPSC30_reference_00053","GPSC31_reference_00022","GPSC32_reference_00105","GPSC33_reference_00019","GPSC34_reference_00061","GPSC37_reference_02113","GPSC3_reference_00009","GPSC40_reference_00051","GPSC43_reference_02032","GPSC47_reference_02257","GPSC4_reference_02121","GPSC5_reference_00042","GPSC6_reference_00030","GPSC7_reference_00111","GPSC8_reference_00009","GPSC9_reference_00009","NC_017592_00009"
"group_1298","","hypothetical protein","35","35","1","1","2137","","","","737","1010","1002","AP023349_00101","GPSC10_reference_00032","GPSC11_reference_00064","GPSC13_reference_00031","GPSC14_reference_00081","GPSC15_reference_00065","GPSC16_reference_00053","GPSC17_reference_00046","GPSC18_reference_00020","GPSC19_reference_00132","GPSC1_reference_00069","GPSC21_reference_00005","GPSC22_reference_00042","GPSC23_reference_00118","GPSC25_reference_00149","GPSC26_reference_00038","GPSC27_reference_00040","GPSC2_reference_00097","GPSC30_reference_00092","GPSC31_reference_00047","GPSC32_reference_00134","GPSC33_reference_00067","GPSC34_reference_00086","GPSC37_reference_00075","GPSC3_reference_00078","GPSC40_reference_00078","GPSC43_reference_00017","GPSC47_reference_00062","GPSC4_reference_00035","GPSC5_reference_00115","GPSC6_reference_00107","GPSC7_reference_00137","GPSC8_reference_00092","GPSC9_reference_00030","NC_017592_00087"
"deoD_1","","Purine nucleoside phosphorylase DeoD-type","35","35","1","1","2044","","","","764","764","764","AP023349_00151","GPSC10_reference_00072","GPSC11_reference_00103","GPSC13_reference_00065","GPSC14_reference_00115","GPSC15_reference_00099","GPSC16_reference_00087","GPSC17_reference_00080","GPSC18_reference_00054","GPSC19_reference_00164","GPSC1_reference_00103","GPSC21_reference_00040","GPSC22_reference_00081","GPSC23_reference_00153","GPSC25_reference_00188","GPSC26_reference_00071","GPSC27_reference_00077","GPSC2_reference_00131","GPSC30_reference_00132","GPSC31_reference_00080","GPSC32_reference_00168","GPSC33_reference_00102","GPSC34_reference_00127","GPSC37_reference_00110","GPSC3_reference_00112","GPSC40_reference_00120","GPSC43_reference_00049","GPSC47_reference_00097","GPSC4_reference_00076","GPSC5_reference_00149","GPSC6_reference_00142","GPSC7_reference_00178","GPSC8_reference_00133","GPSC9_reference_00066","NC_017592_00119"
"group_1301","","hypothetical protein","35","35","1","1","2768","","","","278","569","560","AP023349_00219","GPSC10_reference_00150","GPSC11_reference_00177","GPSC13_reference_00155","GPSC14_reference_00189","GPSC15_reference_00178","GPSC16_reference_00162","GPSC17_reference_00162","GPSC18_reference_00138","GPSC19_reference_00248","GPSC1_reference_00194","GPSC21_reference_00127","GPSC22_reference_00161","GPSC23_reference_00238","GPSC25_reference_00273","GPSC26_reference_00157","GPSC27_reference_00149","GPSC2_reference_00210","GPSC30_reference_00216","GPSC31_reference_00160","GPSC32_reference_00250","GPSC33_reference_00185","GPSC34_reference_00204","GPSC37_reference_00193","GPSC3_reference_00200","GPSC40_reference_00208","GPSC43_reference_00120","GPSC47_reference_00185","GPSC4_reference_00149","GPSC5_reference_00229","GPSC6_reference_00228","GPSC7_reference_00258","GPSC8_reference_00221","GPSC9_reference_00143","NC_017592_00210"
"group_1302","","putative HTH-type transcriptional regulator","35","35","1","1","2758","","","","440","440","440","AP023349_00224","GPSC10_reference_00158","GPSC11_reference_00185","GPSC13_reference_00163","GPSC14_reference_00197","GPSC15_reference_00186","GPSC16_reference_00170","GPSC17_reference_00170","GPSC18_reference_00146","GPSC19_reference_00256","GPSC1_reference_00203","GPSC21_reference_00135","GPSC22_reference_00169","GPSC23_reference_00246","GPSC25_reference_00281","GPSC26_reference_00165","GPSC27_reference_00157","GPSC2_reference_00218","GPSC30_reference_00224","GPSC31_reference_00168","GPSC32_reference_00258","GPSC33_reference_00193","GPSC34_reference_00212","GPSC37_reference_00201","GPSC3_reference_00208","GPSC40_reference_00216","GPSC43_reference_00128","GPSC47_reference_00193","GPSC4_reference_00157","GPSC5_reference_00238","GPSC6_reference_00236","GPSC7_reference_00266","GPSC8_reference_00229","GPSC9_reference_00151","NC_017592_00218"
"rpsM","","30S ribosomal protein S13","35","35","1","1","2452","","","","305","365","362","AP023349_00279","GPSC10_reference_00212","GPSC11_reference_00261","GPSC13_reference_00216","GPSC14_reference_00250","GPSC15_reference_00239","GPSC16_reference_00223","GPSC17_reference_00223","GPSC18_reference_00204","GPSC19_reference_00317","GPSC1_reference_00272","GPSC21_reference_00195","GPSC22_reference_00237","GPSC23_reference_00308","GPSC25_reference_00352","GPSC26_reference_00226","GPSC27_reference_00220","GPSC2_reference_00271","GPSC30_reference_00277","GPSC31_reference_00228","GPSC32_reference_00311","GPSC33_reference_00246","GPSC34_reference_00281","GPSC37_reference_00261","GPSC3_reference_00261","GPSC40_reference_00269","GPSC43_reference_00196","GPSC47_reference_00246","GPSC4_reference_00210","GPSC5_reference_00307","GPSC6_reference_00290","GPSC7_reference_00335","GPSC8_reference_00282","GPSC9_reference_00207","NC_017592_00271"
"ndk","","Nucleoside diphosphate kinase","35","35","1","1","4179","","","","413","413","413","AP023349_00326","GPSC10_reference_01772","GPSC11_reference_01832","GPSC13_reference_01801","GPSC14_reference_01836","GPSC15_reference_01732","GPSC16_reference_01941","GPSC17_reference_01820","GPSC18_reference_01815","GPSC19_reference_01850","GPSC1_reference_01850","GPSC21_reference_01775","GPSC22_reference_01786","GPSC23_reference_01984","GPSC25_reference_01885","GPSC26_reference_01885","GPSC27_reference_01885","GPSC2_reference_01873","GPSC30_reference_01867","GPSC31_reference_01805","GPSC32_reference_01896","GPSC33_reference_01773","GPSC34_reference_01812","GPSC37_reference_01792","GPSC3_reference_01876","GPSC40_reference_01840","GPSC43_reference_01800","GPSC47_reference_01916","GPSC4_reference_01818","GPSC5_reference_01869","GPSC6_reference_01900","GPSC7_reference_01924","GPSC8_reference_01940","GPSC9_reference_01758","NC_017592_01808"
"tsaE","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","35","35","1","1","4185","","","","443","443","443","AP023349_00330","GPSC10_reference_01765","GPSC11_reference_01825","GPSC13_reference_01787","GPSC14_reference_01829","GPSC15_reference_01726","GPSC16_reference_01926","GPSC17_reference_01813","GPSC18_reference_01808","GPSC19_reference_01835","GPSC1_reference_01819","GPSC21_reference_01768","GPSC22_reference_01779","GPSC23_reference_01976","GPSC25_reference_01878","GPSC26_reference_01878","GPSC27_reference_01870","GPSC2_reference_01865","GPSC30_reference_01860","GPSC31_reference_01796","GPSC32_reference_01882","GPSC33_reference_01767","GPSC34_reference_01805","GPSC37_reference_01785","GPSC3_reference_01870","GPSC40_reference_01832","GPSC43_reference_01791","GPSC47_reference_01909","GPSC4_reference_01812","GPSC5_reference_01861","GPSC6_reference_01892","GPSC7_reference_01917","GPSC8_reference_01933","GPSC9_reference_01751","NC_017592_01801"
"group_1313","","hypothetical protein","35","35","1","1","4184","","","","518","518","518","AP023349_00331","GPSC10_reference_01764","GPSC11_reference_01824","GPSC13_reference_01786","GPSC14_reference_01828","GPSC15_reference_01725","GPSC16_reference_01925","GPSC17_reference_01812","GPSC18_reference_01807","GPSC19_reference_01834","GPSC1_reference_01818","GPSC21_reference_01767","GPSC22_reference_01778","GPSC23_reference_01975","GPSC25_reference_01877","GPSC26_reference_01877","GPSC27_reference_01869","GPSC2_reference_01864","GPSC30_reference_01859","GPSC31_reference_01795","GPSC32_reference_01881","GPSC33_reference_01766","GPSC34_reference_01804","GPSC37_reference_01784","GPSC3_reference_01869","GPSC40_reference_01831","GPSC43_reference_01790","GPSC47_reference_01908","GPSC4_reference_01811","GPSC5_reference_01860","GPSC6_reference_01891","GPSC7_reference_01916","GPSC8_reference_01932","GPSC9_reference_01750","NC_017592_01800"
"ykoD_1","","Putative HMP/thiamine import ATP-binding protein YkoD","35","35","1","1","4991","","","","1682","1682","1682","AP023349_00368","GPSC10_reference_00418","GPSC11_reference_00485","GPSC13_reference_00445","GPSC14_reference_00465","GPSC15_reference_00450","GPSC16_reference_00432","GPSC17_reference_00484","GPSC18_reference_00415","GPSC19_reference_00535","GPSC1_reference_00504","GPSC21_reference_00408","GPSC22_reference_00449","GPSC23_reference_00546","GPSC25_reference_00582","GPSC26_reference_00449","GPSC27_reference_00462","GPSC2_reference_00483","GPSC30_reference_00504","GPSC31_reference_00455","GPSC32_reference_00529","GPSC33_reference_00460","GPSC34_reference_00493","GPSC37_reference_00469","GPSC3_reference_00462","GPSC40_reference_00474","GPSC43_reference_00398","GPSC47_reference_00485","GPSC4_reference_00425","GPSC5_reference_00518","GPSC6_reference_00505","GPSC7_reference_00574","GPSC8_reference_00525","GPSC9_reference_00412","NC_017592_00478"
"ycfH","","putative metal-dependent hydrolase YcfH","35","35","1","1","5885","","","","773","773","773","AP023349_00384","GPSC10_reference_01804","GPSC11_reference_01863","GPSC13_reference_01832","GPSC14_reference_01867","GPSC15_reference_01764","GPSC16_reference_01973","GPSC17_reference_01852","GPSC18_reference_01847","GPSC19_reference_01882","GPSC1_reference_01880","GPSC21_reference_01807","GPSC22_reference_01818","GPSC23_reference_02016","GPSC25_reference_01917","GPSC26_reference_01917","GPSC27_reference_01916","GPSC2_reference_01907","GPSC30_reference_01900","GPSC31_reference_01838","GPSC32_reference_01928","GPSC33_reference_01804","GPSC34_reference_01843","GPSC37_reference_01823","GPSC3_reference_01909","GPSC40_reference_01872","GPSC43_reference_01831","GPSC47_reference_01948","GPSC4_reference_01850","GPSC5_reference_01901","GPSC6_reference_01932","GPSC7_reference_01955","GPSC8_reference_01972","GPSC9_reference_01789","NC_017592_01840"
"rnmV","","Ribonuclease M5","35","35","1","1","5883","","","","560","560","560","AP023349_00385","GPSC10_reference_01803","GPSC11_reference_01862","GPSC13_reference_01831","GPSC14_reference_01866","GPSC15_reference_01763","GPSC16_reference_01972","GPSC17_reference_01851","GPSC18_reference_01846","GPSC19_reference_01881","GPSC1_reference_01879","GPSC21_reference_01806","GPSC22_reference_01817","GPSC23_reference_02015","GPSC25_reference_01916","GPSC26_reference_01916","GPSC27_reference_01915","GPSC2_reference_01906","GPSC30_reference_01899","GPSC31_reference_01837","GPSC32_reference_01927","GPSC33_reference_01803","GPSC34_reference_01842","GPSC37_reference_01822","GPSC3_reference_01908","GPSC40_reference_01871","GPSC43_reference_01830","GPSC47_reference_01947","GPSC4_reference_01849","GPSC5_reference_01900","GPSC6_reference_01931","GPSC7_reference_01954","GPSC8_reference_01971","GPSC9_reference_01788","NC_017592_01839"
"group_1317","","hypothetical protein","35","35","1","1","5880","","","","1682","2030","2020","AP023349_00387","GPSC10_reference_01800","GPSC11_reference_01860","GPSC13_reference_01829","GPSC14_reference_01863","GPSC15_reference_01760","GPSC16_reference_01969","GPSC17_reference_01848","GPSC18_reference_01843","GPSC19_reference_01878","GPSC1_reference_01877","GPSC21_reference_01803","GPSC22_reference_01814","GPSC23_reference_02012","GPSC25_reference_01913","GPSC26_reference_01913","GPSC27_reference_01913","GPSC2_reference_01904","GPSC30_reference_01895","GPSC31_reference_01835","GPSC32_reference_01924","GPSC33_reference_01801","GPSC34_reference_01840","GPSC37_reference_01820","GPSC3_reference_01904","GPSC40_reference_01868","GPSC43_reference_01828","GPSC47_reference_01944","GPSC4_reference_01846","GPSC5_reference_01897","GPSC6_reference_01928","GPSC7_reference_01951","GPSC8_reference_01968","GPSC9_reference_01786","NC_017592_01836"
"rsmD","","Ribosomal RNA small subunit methyltransferase D","35","35","1","1","2210","","","","539","539","539","AP023349_00418","GPSC10_reference_01783","GPSC11_reference_01843","GPSC13_reference_01812","GPSC14_reference_01846","GPSC15_reference_01743","GPSC16_reference_01952","GPSC17_reference_01831","GPSC18_reference_01826","GPSC19_reference_01861","GPSC1_reference_01860","GPSC21_reference_01786","GPSC22_reference_01797","GPSC23_reference_01995","GPSC25_reference_01896","GPSC26_reference_01896","GPSC27_reference_01896","GPSC2_reference_01884","GPSC30_reference_01878","GPSC31_reference_01816","GPSC32_reference_01907","GPSC33_reference_01784","GPSC34_reference_01823","GPSC37_reference_01803","GPSC3_reference_01887","GPSC40_reference_01851","GPSC43_reference_01811","GPSC47_reference_01927","GPSC4_reference_01829","GPSC5_reference_01880","GPSC6_reference_01911","GPSC7_reference_01934","GPSC8_reference_01951","GPSC9_reference_01768","NC_017592_01819"
"group_1320","","hypothetical protein","35","35","1","1","2216","","","","194","194","194","AP023349_00421","GPSC10_reference_01778","GPSC11_reference_01838","GPSC13_reference_01807","GPSC14_reference_01842","GPSC15_reference_01738","GPSC16_reference_01947","GPSC17_reference_01826","GPSC18_reference_01821","GPSC19_reference_01856","GPSC1_reference_01856","GPSC21_reference_01781","GPSC22_reference_01792","GPSC23_reference_01990","GPSC25_reference_01891","GPSC26_reference_01891","GPSC27_reference_01891","GPSC2_reference_01879","GPSC30_reference_01873","GPSC31_reference_01811","GPSC32_reference_01902","GPSC33_reference_01779","GPSC34_reference_01818","GPSC37_reference_01798","GPSC3_reference_01882","GPSC40_reference_01846","GPSC43_reference_01806","GPSC47_reference_01922","GPSC4_reference_01824","GPSC5_reference_01875","GPSC6_reference_01906","GPSC7_reference_01930","GPSC8_reference_01946","GPSC9_reference_01764","NC_017592_01814"
